Community,Pathway
1,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
1,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
1,GO_RESPONSE_TO_ALUMINUM_ION
1,GO_ISOPRENOID_CATABOLIC_PROCESS
1,GO_RIBOFLAVIN_METABOLIC_PROCESS
1,GO_PROTEIN_GLUTAMINE_GAMMA_GLUTAMYLTRANSFERASE_ACTIVITY
1,REACTOME_ENDOGENOUS_STEROLS
1,GO_GLUTATHIONE_CATABOLIC_PROCESS
1,GO_PROGESTERONE_BIOSYNTHETIC_PROCESS
1,GO_3_BETA_HYDROXY_DELTA5_STEROID_DEHYDROGENASE_ACTIVITY
1,GO_3_HYDROXYACYL_COA_DEHYDROGENASE_ACTIVITY
1,GO_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS
1,GO_CELLULAR_BIOGENIC_AMINE_METABOLIC_PROCESS
1,REACTOME_HEME_BIOSYNTHESIS
1,REACTOME_HEME_DEGRADATION
1,GO_NADH_DEHYDROGENASE_ACTIVITY
1,GO_NADPH_HEMOPROTEIN_REDUCTASE_ACTIVITY
1,REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE
1,GO_ACETYL_COA_C_ACYLTRANSFERASE_ACTIVITY
1,REACTOME_XENOBIOTICS
1,GO_LIPID_HYDROXYLATION
1,GO_ACYL_COA_OXIDASE_ACTIVITY
1,GO_AMINE_BIOSYNTHETIC_PROCESS
1,REACTOME_BIOLOGICAL_OXIDATIONS
1,GO_ALCOHOL_DEHYDROGENASE_NAD_ACTIVITY
1,GO_ALCOHOL_DEHYDROGENASE_ACTIVITY_ZINC_DEPENDENT
1,GO_STEROID_CATABOLIC_PROCESS
1,GO_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY
1,GO_GLYCOSIDE_METABOLIC_PROCESS
1,GO_ALDEHYDE_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY
1,GO_PROTEIN_DISULFIDE_ISOMERASE_ACTIVITY
1,GO_ALDITOL_NADPPLUS_1_OXIDOREDUCTASE_ACTIVITY
1,GO_POLYAMINE_TRANSPORT
1,GO_PEROXISOMAL_MEMBRANE_TRANSPORT
1,GO_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY_INTERCONVERTING_ALDOSES_AND_KETOSES
1,GO_CELLULAR_ALCOHOL_METABOLIC_PROCESS
1,GO_HORMONE_CATABOLIC_PROCESS
1,GO_INDOLE_CONTAINING_COMPOUND_CATABOLIC_PROCESS
1,GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_NH_GROUP_OF_DONORS
1,GO_INDOLE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS
1,GO_CHOLINE_CATABOLIC_PROCESS
1,GO_HYDROLASE_ACTIVITY_ACTING_ON_ETHER_BONDS
1,GO_ACYL_COA_DEHYDROGENASE_ACTIVITY
1,GO_WATER_SOLUBLE_VITAMIN_BIOSYNTHETIC_PROCESS
1,GO_FAT_SOLUBLE_VITAMIN_CATABOLIC_PROCESS
1,GO_COENZYME_BINDING
1,GO_FAT_SOLUBLE_VITAMIN_BIOSYNTHETIC_PROCESS
1,GO_PEPTIDYLTRANSFERASE_ACTIVITY
1,GO_SUCCINATE_DEHYDROGENASE_ACTIVITY
1,GO_3_KETO_STEROL_REDUCTASE_ACTIVITY
1,GO_PEROXISOME_TARGETING_SEQUENCE_BINDING
1,GO_NEUROTRANSMITTER_CATABOLIC_PROCESS
1,GO_CORTISOL_BIOSYNTHETIC_PROCESS
1,GO_S_ADENOSYLMETHIONINE_CYCLE
1,GO_TETRAPYRROLE_CATABOLIC_PROCESS
1,GO_MOLYBDOPTERIN_COFACTOR_BIOSYNTHETIC_PROCESS
1,REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING
1,GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN
1,GO_ALDITOL_BIOSYNTHETIC_PROCESS
1,GO_RETINAL_DEHYDROGENASE_ACTIVITY
1,GO_PHENOL_CONTAINING_COMPOUND_CATABOLIC_PROCESS
1,GO_ANTIBIOTIC_CATABOLIC_PROCESS
1,GO_ANTIBIOTIC_BIOSYNTHETIC_PROCESS
1,GO_COBALAMIN_TRANSPORT
1,GO_AMINOACYLASE_ACTIVITY
1,GO_ARYLESTERASE_ACTIVITY
1,GO_CARBONYL_REDUCTASE_NADPH_ACTIVITY
1,REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE
1,GO_PROTEIN_TRANSMEMBRANE_TRANSPORT
1,GO_THIOREDOXIN_DISULFIDE_REDUCTASE_ACTIVITY
1,REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM
1,GO_OXYGEN_CARRIER_ACTIVITY
1,GO_VITAMIN_D_BINDING
1,GO_11_CIS_RETINAL_BINDING
1,GO_GLUTATHIONE_METABOLIC_PROCESS
1,REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES
1,REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS
1,REACTOME_THYROXINE_BIOSYNTHESIS
1,GO_PEROXISOMAL_TRANSPORT
1,REACTOME_VITAMINS
1,REACTOME_FATTY_ACIDS
1,REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS
1,GO_ALCOHOL_DEHYDROGENASE_NADPPLUS_ACTIVITY
1,REACTOME_MISCELLANEOUS_SUBSTRATES
1,GO_PRIMARY_AMINE_OXIDASE_ACTIVITY
1,REACTOME_EICOSANOIDS
1,GO_FERRIC_IRON_BINDING
1,REACTOME_CYP2E1_REACTIONS
1,GO_MITOCHONDRION_ORGANIZATION
1,GO_AMINO_ACID_BETAINE_METABOLIC_PROCESS
1,REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET
1,REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS
1,REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX
1,REACTOME_SYNTHESIS_OF_LIPOXINS_LX
1,GO_THIOREDOXIN_PEROXIDASE_ACTIVITY
1,REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES
1,GO_PYRUVATE_DEHYDROGENASE_ACTIVITY
1,GO_AMINE_CATABOLIC_PROCESS
1,GO_ISOPRENOID_BIOSYNTHETIC_PROCESS
1,GO_COENZYME_CATABOLIC_PROCESS
1,REACTOME_ESTROGEN_BIOSYNTHESIS
1,GO_CYTOCHROME_B5_REDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H
1,GO_ENOYL_COA_HYDRATASE_ACTIVITY
1,GO_EPOXIDE_HYDROLASE_ACTIVITY
1,GO_ESTROGEN_METABOLIC_PROCESS
1,GO_ALCOHOL_CATABOLIC_PROCESS
1,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL
1,REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX
1,REACTOME_MINERALOCORTICOID_BIOSYNTHESIS
1,REACTOME_GLUCOCORTICOID_BIOSYNTHESIS
1,GO_PRIMARY_ALCOHOL_METABOLIC_PROCESS
1,GO_ISOPRENOID_METABOLIC_PROCESS
