COMMUNITY 1,,,
k-mer, count, hubness, k
OXIDOREDUCTASE ACTIVITY ACTING,33,0.003523,3
ACTIVITY ACTING CH,11,0.002293,3
NAD P H,7,0.006186,3
ACTING PAIRED DONORS,7,0.004708,3
ACTIVITY ACTING PAIRED,7,0.004708,3
REDUCTION MOLECULAR OXYGEN,7,0.004708,3
DONORS INCORPORATION REDUCTION,6,0.005431,3
INCORPORATION REDUCTION MOLECULAR,6,0.005431,3
PAIRED DONORS INCORPORATION,6,0.005431,3
ACTING NAD P,5,0.007286,3
COMMUNITY 2,,,
k-mer, count, hubness, k
CELLULAR RESPONSE HEAT,3,0.023463,3
CELLULAR RESPONSE,4,0.020728,2
RESPONSE HEAT,3,0.023463,2
NUCLEAR PORE,3,0.016874,2
SUMOYLATION DNA,3,0.015636,2
METABOLIC PROCESS,3,0.00628,2
PRE MRNA,3,0.006108,2
6 PHOSPHATE,3,0.000362,2
BINDING,11,0.003299,1
ACTIVITY,11,0.001025,1
COMMUNITY 3,,,
k-mer, count, hubness, k
ACYL CHAIN REMODELLING,5,0.009777,3
COA LIGASE ACTIVITY,5,0.000434,3
PHOSPHOLIPASE A2 ACTIVITY,4,0.00828,3
SERINE THREONINE PHOSPHATASE,4,0.003318,3
THREONINE PHOSPHATASE ACTIVITY,4,0.003318,3
ACTING CARBON NITROGEN,4,0.000417,3
ACTIVITY ACTING CARBON,4,0.000417,3
CARBON NITROGEN PEPTIDE,4,0.000417,3
HYDROLASE ACTIVITY ACTING,4,0.000417,3
NITROGEN PEPTIDE BONDS,4,0.000417,3
COMMUNITY 4,,,
k-mer, count, hubness, k
RNA POLYMERASE II,7,0.009608,3
RNA POLYMERASE III,7,0.003243,3
SINGLE STRANDED DNA,6,0.002395,3
NUCLEOTIDE EXCISION REPAIR,4,0.022712,3
PRODUCING 5 PHOSPHOMONOESTERS,4,0.004331,3
POLYMERASE III TRANSCRIPTION,4,0.003656,3
BASE EXCISION REPAIR,3,0.006335,3
ACTIVE EITHER RIBO,3,0.00455,3
ACTIVITY ACTIVE EITHER,3,0.00455,3
DEOXYRIBONUCLEIC ACIDS PRODUCING,3,0.00455,3
COMMUNITY 5,,,
k-mer, count, hubness, k
RNA BINDING,9,0.005642,2
POSITIVE REGULATION,5,0.000526,2
FACTOR ACTIVITY,4,0.004764,2
RRNA BINDING,4,0.004435,2
MRNA BINDING,4,0.002124,2
SNRNA BINDING,4,0.00059,2
TRANSLATION INITIATION,3,0.018835,2
STRUCTURAL CONSTITUENT,3,0.01445,2
REGULATOR ACTIVITY,3,0.007924,2
CAP BINDING,3,0.007225,2
COMMUNITY 6,,,
k-mer, count, hubness, k
TRANSFERASE ACTIVITY TRANSFERRING,4,0.021946,3
BETA 1 3,3,0.003826,3
BIOSYNTHETIC PROCESS,8,0.015214,2
METABOLIC PROCESS,8,0.005031,2
N GLYCAN,7,0.006674,2
TRANSFERASE ACTIVITY,5,0.017972,2
HEPARAN SULFATE,5,0.008654,2
GALACTOSYLTRANSFERASE ACTIVITY,5,0.006762,2
SULFOTRANSFERASE ACTIVITY,5,0.004347,2
CATABOLIC PROCESS,5,0.004003,2
COMMUNITY 7,,,
k-mer, count, hubness, k
DNA HELICASE ACTIVITY,6,0.009824,3
ATPASE ACTIVITY COUPLED,4,0.036129,3
MICROTUBULE MOTOR ACTIVITY,4,0.013195,3
ATP DEPENDENT MICROTUBULE,3,0.010269,3
DEPENDENT MICROTUBULE MOTOR,3,0.010269,3
HELICASE ACTIVITY,12,0.013549,2
ATPASE ACTIVITY,10,0.028428,2
ATP DEPENDENT,7,0.008608,2
DNA BINDING,7,0.001777,2
MOTOR ACTIVITY,6,0.013567,2
COMMUNITY 8,,,
k-mer, count, hubness, k
MEDIATED DEGRADATION,4,0.011686,2
ANTIGEN PROCESSING,4,0.008849,2
CATABOLIC PROCESS,4,0.006305,2
NF KB,3,0.010827,2
INTERLEUKIN 1,3,0.00997,2
CELL DIFFERENTIATION,3,0.009882,2
CELL CYCLE,3,0.008448,2
REGULATION CELLULAR,3,0.008043,2
REGULATION,23,0.009282,1
SIGNALING,17,0.009787,1
COMMUNITY 9,,,
k-mer, count, hubness, k
DENSITY LIPOPROTEIN PARTICLE,9,0.00243,3
LOW DENSITY LIPOPROTEIN,8,0.002517,3
LIPOPROTEIN PARTICLE RECEPTOR,5,0.002635,3
LIPOPROTEIN PARTICLE CLEARANCE,5,0.002192,3
LIPID METABOLIC PROCESS,4,0.014614,3
REGULATION LIPID TRANSPORT,3,0.014044,3
REGULATION LIPID METABOLIC,3,0.013631,3
POSITIVE REGULATION LIPID,3,0.013152,3
NEGATIVE REGULATION LIPID,3,0.009827,3
LIPID CATABOLIC PROCESS,3,0.009803,3
COMMUNITY 10,,,
k-mer, count, hubness, k
LIGAND BINDING ACTIVATION,8,0.004356,3
PHOSPHATIDYLINOSITOL 3 KINASE,5,0.000887,3
DOWNSTREAM SIGNALING ACTIVATED,4,0.010605,3
FIBROBLAST GROWTH FACTOR,4,0.004804,3
FACTOR RECEPTOR BINDING,4,0.004576,3
GROWTH FACTOR RECEPTOR,4,0.004576,3
EVENTS ERBB2 SIGNALING,4,0.002612,3
PI3K AKT SIGNALING,3,0.005678,3
ACTIVATED NTRK2 SIGNALS,3,0.002651,3
SIGNALING PATHWAY,10,0.004938,2
COMMUNITY 11,,,
k-mer, count, hubness, k
TRANSMEMBRANE TRANSPORTER ACTIVITY,101,0.002855,3
CARDIAC MUSCLE CELL,15,0.001568,3
ACID TRANSMEMBRANE TRANSPORTER,14,0.002601,3
ION TRANSMEMBRANE TRANSPORTER,12,0.006073,3
ION CHANNEL ACTIVITY,11,0.003435,3
POTASSIUM CHANNEL ACTIVITY,8,0.004502,3
GATED ION CHANNEL,8,0.004473,3
SODIUM SYMPORTER ACTIVITY,7,0.002629,3
AMINO ACID TRANSMEMBRANE,7,0.002471,3
CATION CHANNEL ACTIVITY,6,0.005743,3
COMMUNITY 12,,,
k-mer, count, hubness, k
CHEMOKINE RECEPTOR BINDING,8,0.001524,3
RECEPTOR SIGNALING PATHWAY,6,0.00431,3
ANTIGEN PROCESSING PRESENTATION,5,0.000907,3
MHC CLASS II,5,0.000509,3
POSITIVE REGULATION CELL,4,0.01402,3
REGULATION DEFENSE RESPONSE,4,0.007677,3
REGULATION ANTIGEN PROCESSING,4,0.000545,3
REGULATION CYTOKINE PRODUCTION,3,0.012295,3
REGULATION CELL ACTIVATION,3,0.011542,3
NEGATIVE REGULATION CELL,3,0.007797,3
COMMUNITY 13,,,
k-mer, count, hubness, k
DEPENDENT PROTEIN KINASE,4,0.001952,3
G PROTEIN BETA,3,0.008895,3
CAMP DEPENDENT PROTEIN,3,0.001944,3
G PROTEIN,8,0.012463,2
PROTEIN KINASE,7,0.001794,2
INSULIN SECRETION,6,0.013412,2
ADENYLATE CYCLASE,5,0.005514,2
DEPENDENT PROTEIN,4,0.001952,2
BETAGAMMA SIGNALLING,3,0.019033,2
PROTEIN BETA,3,0.008895,2
COMMUNITY 14,,,
k-mer, count, hubness, k
G PROTEIN COUPLED,11,0.011604,3
RECEPTOR SIGNALING PATHWAY,6,0.0099,3
ARTERIAL BLOOD PRESSURE,6,0.002085,3
REGULATION SYSTEMIC ARTERIAL,6,0.002085,3
SYSTEMIC ARTERIAL BLOOD,6,0.002085,3
PROTEIN COUPLED RECEPTOR,4,0.018752,3
LIGAND BINDING RECEPTORS,4,0.015215,3
NEUROTRANSMITTER RECEPTOR ACTIVITY,4,0.010267,3
RECEPTOR ACTIVITY,40,0.007206,2
G PROTEIN,12,0.010929,2
COMMUNITY 15,,,
k-mer, count, hubness, k
REGULATION CELL CYCLE,4,0.005125,3
TP53 REGULATES TRANSCRIPTION,4,0.001059,3
GOLGI ER RETROGRADE,3,0.017432,3
VESICLE MEDIATED TRANSPORT,3,0.012744,3
CELL CYCLE,13,0.005118,2
PLASMA MEMBRANE,7,0.009902,2
GAP JUNCTION,5,0.0044,2
REGULATION CELL,5,0.004165,2
GOLGI ER,4,0.01802,2
MITOTIC SPINDLE,4,0.005251,2
COMMUNITY 16,,,
k-mer, count, hubness, k
APOPTOTIC SIGNALING PATHWAY,7,0.032821,3
