	0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0
KEGG_CITRATE_CYCLE_TCA_CYCLE	1
KEGG_PENTOSE_PHOSPHATE_PATHWAY	2
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	3
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	2
KEGG_GALACTOSE_METABOLISM	2
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	3
KEGG_FATTY_ACID_METABOLISM	4
KEGG_STEROID_BIOSYNTHESIS	5
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	6
KEGG_STEROID_HORMONE_BIOSYNTHESIS	3
KEGG_OXIDATIVE_PHOSPHORYLATION	7
KEGG_PURINE_METABOLISM	8
KEGG_PYRIMIDINE_METABOLISM	9
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	10
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	11
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	12
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	4
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	13
KEGG_LYSINE_DEGRADATION	4
KEGG_ARGININE_AND_PROLINE_METABOLISM	10
KEGG_HISTIDINE_METABOLISM	0
KEGG_TYROSINE_METABOLISM	14
KEGG_PHENYLALANINE_METABOLISM	15
KEGG_TRYPTOPHAN_METABOLISM	16
KEGG_BETA_ALANINE_METABOLISM	4
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	17
KEGG_SELENOAMINO_ACID_METABOLISM	17
KEGG_GLUTATHIONE_METABOLISM	18
KEGG_STARCH_AND_SUCROSE_METABOLISM	3
KEGG_N_GLYCAN_BIOSYNTHESIS	19
KEGG_OTHER_GLYCAN_DEGRADATION	20
KEGG_O_GLYCAN_BIOSYNTHESIS	21
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	22
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	20
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	23
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	24
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	25
KEGG_GLYCEROLIPID_METABOLISM	26
KEGG_INOSITOL_PHOSPHATE_METABOLISM	27
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	28
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	29
KEGG_ETHER_LIPID_METABOLISM	30
KEGG_ARACHIDONIC_ACID_METABOLISM	31
KEGG_LINOLEIC_ACID_METABOLISM	30
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	30
KEGG_SPHINGOLIPID_METABOLISM	32
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	33
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	33
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	22
KEGG_PYRUVATE_METABOLISM	1
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	34
KEGG_PROPANOATE_METABOLISM	4
KEGG_BUTANOATE_METABOLISM	4
KEGG_ONE_CARBON_POOL_BY_FOLATE	34
KEGG_RIBOFLAVIN_METABOLISM	35
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	36
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	36
KEGG_FOLATE_BIOSYNTHESIS	34
KEGG_RETINOL_METABOLISM	3
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	3
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	5
KEGG_LIMONENE_AND_PINENE_DEGRADATION	4
KEGG_NITROGEN_METABOLISM	37
KEGG_SULFUR_METABOLISM	25
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	13
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	3
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	3
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	3
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	38
KEGG_ABC_TRANSPORTERS	39
KEGG_RIBOSOME	40
KEGG_RNA_DEGRADATION	41
KEGG_RNA_POLYMERASE	42
KEGG_BASAL_TRANSCRIPTION_FACTORS	43
KEGG_DNA_REPLICATION	44
KEGG_SPLICEOSOME	45
KEGG_PROTEASOME	46
KEGG_PROTEIN_EXPORT	47
KEGG_PPAR_SIGNALING_PATHWAY	48
KEGG_BASE_EXCISION_REPAIR	49
KEGG_NUCLEOTIDE_EXCISION_REPAIR	50
KEGG_MISMATCH_REPAIR	51
KEGG_HOMOLOGOUS_RECOMBINATION	52
KEGG_NON_HOMOLOGOUS_END_JOINING	53
KEGG_MAPK_SIGNALING_PATHWAY	54
KEGG_ERBB_SIGNALING_PATHWAY	55
KEGG_CALCIUM_SIGNALING_PATHWAY	56
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	57
KEGG_CHEMOKINE_SIGNALING_PATHWAY	58
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	59
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	60
KEGG_CELL_CYCLE	61
KEGG_OOCYTE_MEIOSIS	62
KEGG_P53_SIGNALING_PATHWAY	63
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	64
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	65
KEGG_REGULATION_OF_AUTOPHAGY	66
KEGG_LYSOSOME	67
KEGG_ENDOCYTOSIS	68
KEGG_PEROXISOME	69
KEGG_MTOR_SIGNALING_PATHWAY	70
KEGG_APOPTOSIS	71
KEGG_CARDIAC_MUSCLE_CONTRACTION	72
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	73
KEGG_WNT_SIGNALING_PATHWAY	74
KEGG_DORSO_VENTRAL_AXIS_FORMATION	75
KEGG_NOTCH_SIGNALING_PATHWAY	76
KEGG_HEDGEHOG_SIGNALING_PATHWAY	77
KEGG_TGF_BETA_SIGNALING_PATHWAY	78
KEGG_AXON_GUIDANCE	79
KEGG_VEGF_SIGNALING_PATHWAY	80
KEGG_FOCAL_ADHESION	81
KEGG_ECM_RECEPTOR_INTERACTION	82
KEGG_CELL_ADHESION_MOLECULES_CAMS	83
KEGG_ADHERENS_JUNCTION	84
KEGG_TIGHT_JUNCTION	85
KEGG_GAP_JUNCTION	86
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	87
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88
KEGG_RENIN_ANGIOTENSIN_SYSTEM	89
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	90
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	91
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	92
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	93
KEGG_JAK_STAT_SIGNALING_PATHWAY	94
KEGG_HEMATOPOIETIC_CELL_LINEAGE	95
