pathway,hubness,community
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.0017842897539516204,1
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.0024421872559442707,1
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.0011025050838704106,1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,0.0012440384961292746,1
KEGG_FATTY_ACID_METABOLISM,0.002164446812539636,1
KEGG_STEROID_BIOSYNTHESIS,0.0008842954328384619,1
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.0020225446444896455,1
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.004731729812132112,1
KEGG_OXIDATIVE_PHOSPHORYLATION,0.02025147026091458,1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.00047682535567939875,1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.001035674882038241,1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.0005435332259132114,1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.0015025051776601168,1
KEGG_LYSINE_DEGRADATION,0.0009936439441235803,1
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.00128958561566753,1
KEGG_HISTIDINE_METABOLISM,0.0007272738309762378,1
KEGG_TYROSINE_METABOLISM,0.0017326939605421528,1
KEGG_PHENYLALANINE_METABOLISM,0.0007969825069087809,1
KEGG_TRYPTOPHAN_METABOLISM,0.0020829965142472743,1
KEGG_BETA_ALANINE_METABOLISM,0.0008119369634693672,1
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.0002918623343440764,1
KEGG_SELENOAMINO_ACID_METABOLISM,0.0002627476845276832,1
KEGG_GLUTATHIONE_METABOLISM,0.0019283717209734174,1
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.0008643517711246912,1
KEGG_ARACHIDONIC_ACID_METABOLISM,0.003618030594113053,1
KEGG_PYRUVATE_METABOLISM,0.001761917864013387,1
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.0005042846804080849,1
KEGG_PROPANOATE_METABOLISM,0.0011466427781405874,1
KEGG_BUTANOATE_METABOLISM,0.001145641159551472,1
KEGG_ONE_CARBON_POOL_BY_FOLATE,0.0003815675950917658,1
KEGG_FOLATE_BIOSYNTHESIS,0.0001837754278146126,1
KEGG_RETINOL_METABOLISM,0.005506412632442327,1
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.001157349635165209,1
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.0002847478267734179,1
KEGG_LIMONENE_AND_PINENE_DEGRADATION,0.0005675893610297382,1
KEGG_NITROGEN_METABOLISM,0.0001841967793947894,1
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.005977988055718543,1
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.006021354564193813,1
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.001886923720454237,1
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.0007481029485025793,1
KEGG_PEROXISOME,0.002044413568067217,1
