,pathway,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-1.803179737337561e-05,-9.940311256364381e-06,-8.076835785885902e-06,-1.609791806226127e-05,-9.105488248722406e-06,1.4014516018360547e-06,-6.870874794439978e-06,-4.945712270391575e-05,-8.051500394725894e-07,-1.3223130168896202e-05,-3.690878782559859e-05,0.00013137173780537227,-7.335303511478777e-06,-3.2892344501069676e-06,-1.7206512253766827e-05,1.2638124180632503e-05,-1.4697472813466478e-06,-8.460771387656073e-06,-8.961616755499141e-07,1.841055261451313e-05,-2.865661762860988e-06,-9.896014498955979e-07,1.7666536277903978e-07,1.0481490691919074e-06,2.4994283814873917e-05,3.470880731093473e-05,-2.9349921317770034e-05,2.390425470599625e-06,7.18705934553204e-06,7.853426140414128e-08,1.0981926079316282e-05,-8.929003864294269e-07,-2.177579221571222e-06,-1.4315134022852645e-06,-2.855311139585598e-07
1,HALLMARK_HYPOXIA,2.1536058340092257e-05,3.550532456323384e-05,-3.881872870785917e-06,-8.748064452376858e-06,-5.144397736184594e-06,5.194814490326995e-05,-3.1283034518342183e-06,-4.7479265401884074e-05,2.1729948493443355e-06,-1.5845911200405502e-05,-1.6501291243805477e-05,-2.0147793929736063e-06,-6.9547801363053705e-06,-2.3301433324761367e-06,-1.335173384575672e-05,1.2236447850768727e-05,-1.1665999323734553e-06,-5.7433821123477335e-06,8.967887547032746e-07,4.66570271964728e-06,-5.612419718155955e-06,1.1634389423967415e-05,1.1987703937714521e-06,-1.2123842438845414e-06,-4.394260310421234e-06,9.843413326111015e-06,-2.288409296260542e-05,1.2592393973891018e-05,-1.5491172447217386e-06,-8.43229121145117e-07,6.92022986670867e-06,-4.2787939689634125e-07,-1.4821797631310541e-06,-9.151563043886899e-09,-3.210556875797365e-07
2,HALLMARK_CHOLESTEROL_HOMEOSTASIS,5.674504065248526e-05,-4.538073253063449e-06,4.461703481718933e-06,-6.214548762579694e-06,-3.130408337041757e-06,-4.4026243003559076e-07,-1.6832433626405227e-06,-2.5283315951682428e-05,3.38864872326157e-05,-1.3871286687727746e-05,-1.512133587002959e-05,-7.102468456324229e-06,7.339925650862687e-07,-3.6524356681732345e-07,-5.9394840663876125e-06,-5.885113979939814e-07,-1.7476135495237636e-06,-8.219351461751477e-07,-6.311471656998344e-07,3.090928182160335e-06,-3.1393258682205216e-07,-1.328070140751373e-06,4.342613743694057e-06,-4.81404094014419e-07,-4.581042519403826e-06,1.1046252551201972e-05,-1.4637337346896581e-05,-2.922974225025776e-08,-3.632755096172162e-06,-4.2220470507605464e-07,-1.0331719841553261e-07,8.043598425402877e-08,-7.270185295900344e-07,-7.835232720911534e-07,1.645182417810392e-07
3,HALLMARK_MITOTIC_SPINDLE,-2.3631192309133547e-05,-9.094297124538804e-06,-1.1181585471178347e-05,-1.0769771767184765e-05,-5.739605360112129e-06,-6.981022906998001e-06,1.128891207960057e-05,-5.136487930015518e-05,-1.132735028622732e-05,-1.4935514835624428e-05,-3.4538972091394116e-05,-3.321759575271831e-05,-7.35531067148909e-06,-9.326141674342002e-06,0.00019967935442978275,1.1432460362463884e-07,-4.092664464821951e-06,-7.826705931260336e-06,-9.167679228467337e-07,-2.578073660603787e-05,4.45167582913005e-05,-2.573975570228622e-06,7.601237191492017e-06,-5.632856537856473e-06,-1.5932959193575014e-05,-2.228989626797996e-05,-1.0036986832996989e-05,-2.6368298188234984e-06,6.919390796750018e-05,-1.4113994252948044e-06,-2.334841756790893e-06,-8.471075138821293e-07,-1.5540280579405931e-06,-9.033574794239528e-08,1.2326349621014841e-06
4,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-1.5941466287607703e-05,-8.801415205455208e-06,-8.230240830821994e-06,-1.0791853727872697e-05,-3.262696821976392e-06,-4.34256770991126e-06,-5.452588471518884e-06,-1.793664407588602e-05,-7.446896606891525e-06,-1.2735635900117115e-05,-3.343118057663047e-05,-1.1652844961915557e-05,-6.810877137180052e-07,-8.205892861747922e-06,-8.719400162212308e-06,1.9676247520585347e-07,-1.0789132309139103e-06,-8.611571085073277e-06,-2.4783080541044547e-06,0.00012621384887865662,2.1437486505816554e-06,-3.011446405832034e-06,1.2563421396409894e-06,-7.280219369356581e-06,2.3667272630322617e-05,3.7892665795152825e-05,-2.245084560509314e-06,-1.222659858622166e-06,-4.209278556815445e-06,-2.457376181800859e-07,-2.0886866816877733e-06,-4.323139120234083e-09,-1.416367813656446e-06,-1.4627126131907403e-06,1.7178489601657682e-06
5,HALLMARK_TGF_BETA_SIGNALING,-1.660268667945386e-05,-7.895087617313529e-06,-7.460068868005848e-06,-9.580304476902377e-06,-6.8511848441213385e-06,-4.490831235813911e-06,-5.0237033101425965e-06,-3.0009695899776284e-05,-6.9341201611849285e-06,-2.1107197318513335e-05,-2.8433798225587642e-05,-6.739771811214296e-06,-6.755795368578073e-06,-8.080169189165001e-06,-7.772030874196069e-06,3.98553706868008e-06,1.7853607495936334e-07,-7.8780796847807e-06,-1.2635362156585093e-06,0.00012872062675188187,9.373542522888613e-06,3.857516178415888e-06,7.772047466587267e-06,-2.6607742178567408e-06,3.0380188848151517e-05,2.1483481482808577e-05,-1.649636068521733e-05,-4.4194150263237187e-07,1.7208417050743226e-06,-5.427124795851185e-07,-2.5788241777771745e-06,-7.746074318003239e-07,-1.209793785665516e-06,2.739127911797611e-07,-5.5959853532050116e-08
6,HALLMARK_IL6_JAK_STAT3_SIGNALING,-2.140038497116213e-05,-9.462443958720493e-06,-5.064195672715814e-06,-1.5407506404583465e-05,-1.1127300242286427e-05,-4.954935721347784e-06,-5.924850746436439e-06,-5.3132256416382057e-05,-4.00906330129229e-06,4.176656112029643e-05,-3.755364157907379e-05,0.00019933868524089036,-6.724350066815432e-06,-6.941486885205655e-08,-2.116783938940943e-05,1.0590749491612862e-05,-3.5610522572029207e-06,-1.346202730718657e-06,-2.6486961590272947e-06,7.823666734428636e-08,-4.503142235072564e-06,4.926920745596886e-06,-1.0419177027311006e-06,2.6059712221124243e-07,8.141356495523777e-07,-1.297269576622153e-05,-3.107140639462512e-05,2.6617508458135234e-06,-4.424947001441075e-06,-6.574448339079805e-07,1.6371396629181372e-06,4.11747261394764e-07,-2.1376619901157566e-06,-1.3135008336271942e-06,-6.319626084804082e-07
7,HALLMARK_DNA_REPAIR,-1.858063746508834e-05,2.0964101813243652e-05,3.729357917453893e-05,0.000298997113322653,-5.667669086637656e-07,-6.6764740812345034e-06,-1.5929314342261018e-06,-4.269309343197386e-05,-1.479596334914065e-05,-2.990482485183514e-05,-4.4588077130078285e-05,-3.7362138773495285e-05,-8.634835644688414e-06,-1.0662208527069568e-05,-1.5698464065268605e-05,-8.526479525955855e-06,-3.4000317610243403e-06,-1.526328276602257e-05,-3.111392614653331e-07,-3.563779125648377e-05,-1.578362646477297e-05,-5.6244480282543335e-06,-3.110370980814064e-06,-1.0129529570876514e-05,-1.527956437144106e-05,-1.3154218330397628e-05,1.987083256721131e-05,-2.9854165616248203e-06,-1.1236194252490367e-05,2.5644816826606476e-06,-4.8664326977978026e-06,4.202905944514961e-07,-3.302073053095206e-07,-1.5742171398904956e-06,-9.364388079444543e-07
8,HALLMARK_G2M_CHECKPOINT,-2.0314210882220116e-05,8.526492317109842e-06,-1.0100424254593128e-05,3.899405285520078e-05,-9.138960584322703e-07,-5.92000418349857e-06,1.1470235242950523e-05,-7.347665187108082e-06,-1.4286872058676646e-05,-2.714514627340063e-05,-3.807568878967313e-05,-3.132866381143004e-05,-7.214603753850045e-06,-8.256976302451098e-06,0.00013156989020325378,-2.646888115165856e-06,-3.2689690008559646e-07,-1.3224856119964032e-05,-2.056725869765399e-06,-1.0362940401263676e-05,-1.0291345627100237e-05,-4.065154821354449e-06,-2.537131731706753e-06,-9.285456908156211e-06,-4.0218868172132993e-07,5.275696397438745e-06,2.3353765277215124e-05,-1.89993430192248e-06,8.432304291782801e-07,1.472321117444459e-06,1.8357617763469164e-06,-7.927461199298933e-07,4.657923536960807e-06,7.914307485701268e-07,1.9086985483782767e-07
9,HALLMARK_APOPTOSIS,-2.1472492753981526e-06,-1.0903800554867664e-05,-1.013319026205075e-05,-1.3064489283341404e-05,-9.13968061260189e-06,-4.8513426155819e-07,-7.444843513807527e-06,-5.187533514838458e-05,-5.421821320807617e-06,-1.1486196608062951e-05,-4.0004653219832126e-05,4.248291465112908e-05,-5.829156994467937e-06,-7.878532266231315e-06,-5.758770099856085e-06,0.00010385986093961169,3.594974855494282e-06,-6.196719757216047e-06,-1.1077761096953652e-07,1.6264457282571393e-05,6.097234374214527e-06,2.059187315693123e-06,3.7867636603962926e-06,-3.3122655273588875e-06,7.323157544568588e-06,2.2155300183103466e-06,-2.9643158190871197e-05,-1.6232758954383528e-06,2.0431505666316553e-05,1.47016651869564e-06,1.299136195808423e-05,-7.285584985614415e-07,-1.5636962131403056e-06,7.674746620737398e-07,1.6789567349540576e-06
