kmer,hubness,count,k,community,count_fraction
ACTIVITY,0.0019237060937203948,158,1,1,0.32113821138211385
PROCESS,0.0011212826877998211,69,1,1,0.1402439024390244
BINDING,0.0021389508649544402,62,1,1,0.12601626016260162
METABOLISM,0.0016764640619375988,60,1,1,0.12195121951219512
OXIDOREDUCTASE,0.0035453642131173437,45,1,1,0.09146341463414634
ACID,0.0020411123028265996,39,1,1,0.07926829268292683
ACTING,0.0032370698329205008,37,1,1,0.07520325203252033
DONORS,0.0027013873693714275,29,1,1,0.05894308943089431
METABOLIC,0.0015637921747756569,26,1,1,0.052845528455284556
BIOSYNTHESIS,0.0009268179234364793,26,1,1,0.052845528455284556
BIOSYNTHETIC,0.0008676039855665935,26,1,1,0.052845528455284556
DEHYDROGENASE,0.0016071651192887243,25,1,1,0.0508130081300813
OXYGEN,0.0026804665599496295,24,1,1,0.04878048780487805
COA,0.00041976846866235176,24,1,1,0.04878048780487805
GROUP,0.0022408512146816053,18,1,1,0.036585365853658534
CATABOLIC,0.0011544515141321406,18,1,1,0.036585365853658534
NAD,0.0035364996998669632,17,1,1,0.034552845528455285
SYNTHESIS,0.0026965476919663073,17,1,1,0.034552845528455285
ACCEPTOR,0.0021337198898761615,17,1,1,0.034552845528455285
CH,0.002252679503250558,15,1,1,0.03048780487804878
FATTY,0.0013340073411931878,15,1,1,0.03048780487804878
OXIDATION,0.0007606148989861662,15,1,1,0.03048780487804878
TRANSPORT,0.007718992626281543,13,1,1,0.026422764227642278
VITAMIN,0.0010390713089843964,13,1,1,0.026422764227642278
BETA,0.0005646255157438042,13,1,1,0.026422764227642278
INCORPORATION,0.004188159555280462,12,1,1,0.024390243902439025
BILE,0.002388373027736762,12,1,1,0.024390243902439025
ACIDS,0.0016935258313006596,12,1,1,0.024390243902439025
PROTEIN,0.0009071030798497247,12,1,1,0.024390243902439025
ONE,0.002930131637003819,11,1,1,0.022357723577235773
LYASE,0.0005248690499997237,11,1,1,0.022357723577235773
CYCLE,0.0036458823991673698,10,1,1,0.02032520325203252
STEROID,0.003335194125897629,10,1,1,0.02032520325203252
COMPOUND,0.002067501589124257,10,1,1,0.02032520325203252
GLUTATHIONE,0.001095260508728911,10,1,1,0.02032520325203252
AMINO,0.0005403192857057709,10,1,1,0.02032520325203252
CARBON,0.0004442193460664169,10,1,1,0.02032520325203252
P,0.00500510038451234,9,1,1,0.018292682926829267
SULFUR,0.0010492012279431906,9,1,1,0.018292682926829267
MOLECULAR,0.004337137950716384,8,1,1,0.016260162601626018
CELLULAR,0.003825098918592611,8,1,1,0.016260162601626018
NADP,0.002034580026430425,8,1,1,0.016260162601626018
ALDEHYDE,0.0012142066601927967,8,1,1,0.016260162601626018
DISULFIDE,0.0008456081702235688,8,1,1,0.016260162601626018
TRANSFERASE,0.0005040956419506496,8,1,1,0.016260162601626018
ACYL,0.000437139154312331,8,1,1,0.016260162601626018
CATABOLISM,0.0002833758805667859,8,1,1,0.016260162601626018
HYDROLASE,0.0002537461552386416,8,1,1,0.016260162601626018
H,0.0061864971721279785,7,1,1,0.014227642276422764
PAIRED,0.004707565535304221,7,1,1,0.014227642276422764
REDUCTION,0.004707565535304221,7,1,1,0.014227642276422764
ION,0.0036058743777423103,7,1,1,0.014227642276422764
IRON,0.0029365252305524974,7,1,1,0.014227642276422764
HORMONE,0.002700028140641992,7,1,1,0.014227642276422764
ALCOHOL,0.0018952492344303834,7,1,1,0.014227642276422764
REDUCTASE,0.0008828208160572284,7,1,1,0.014227642276422764
DEMETHYLASE,0.0008491638943761062,7,1,1,0.014227642276422764
CONTAINING,0.000547401000362828,7,1,1,0.014227642276422764
CHAIN,0.0044168582248486,6,1,1,0.012195121951219513
DIOXYGENASE,0.0023206371980309805,6,1,1,0.012195121951219513
PEROXISOMAL,0.0010722026221445244,6,1,1,0.012195121951219513
DEGRADATION,0.000836120753993008,6,1,1,0.012195121951219513
GROUPS,0.0006246384085789002,6,1,1,0.012195121951219513
REGULATION,0.0005486665932635681,6,1,1,0.012195121951219513
ELECTRON,0.021997344102628356,5,1,1,0.01016260162601626
COFACTOR,0.004360952757621818,5,1,1,0.01016260162601626
ATOM,0.003184988041195024,5,1,1,0.01016260162601626
DONOR,0.003184988041195024,5,1,1,0.01016260162601626
PYRUVATE,0.0017553197250217193,5,1,1,0.01016260162601626
PROLINE,0.0010632868551325926,5,1,1,0.01016260162601626
MITOCHONDRIAL,0.0008243048326178131,5,1,1,0.01016260162601626
HISTONE,0.0006546017004880882,5,1,1,0.01016260162601626
AMINE,0.0006468471846026703,5,1,1,0.01016260162601626
COBALAMIN,0.000559583376226223,5,1,1,0.01016260162601626
3,0.00048466524244378874,5,1,1,0.01016260162601626
RESPONSE,0.0004600076528759568,5,1,1,0.01016260162601626
C,0.00033380456839132006,5,1,1,0.01016260162601626
INTRAMOLECULAR,0.00029750289808246977,5,1,1,0.01016260162601626
RESPIRATORY,0.023804747441045007,4,1,1,0.008130081300813009
TCA,0.007591628066940271,4,1,1,0.008130081300813009
CYTOCHROME,0.006213323946402906,4,1,1,0.008130081300813009
MONOOXYGENASE,0.005518238935188063,4,1,1,0.008130081300813009
QUINONE,0.004872282050078788,4,1,1,0.008130081300813009
ARACHIDONIC,0.0031823442413592556,4,1,1,0.008130081300813009
METAL,0.0025156987771759263,4,1,1,0.008130081300813009
SALTS,0.0025067890719075977,4,1,1,0.008130081300813009
REDUCED,0.002482611205259459,4,1,1,0.008130081300813009
RETINOL,0.002177088074272372,4,1,1,0.008130081300813009
HEME,0.0018454415267862877,4,1,1,0.008130081300813009
PRIMARY,0.0017494986040884133,4,1,1,0.008130081300813009
OXO,0.0016923023096520268,4,1,1,0.008130081300813009
ISOPRENOID,0.0016337020323857522,4,1,1,0.008130081300813009
SOLUBLE,0.00109189073676833,4,1,1,0.008130081300813009
NADPH,0.0008998830353086117,4,1,1,0.008130081300813009
OXIDASE,0.000741457506489865,4,1,1,0.008130081300813009
TRANSFERRING,0.0005645967422059665,4,1,1,0.008130081300813009
H3,0.0004911550338537292,4,1,1,0.008130081300813009
SPECIFIC,0.0004911550338537292,4,1,1,0.008130081300813009
PHOSPHATE,0.00027760143313687444,4,1,1,0.008130081300813009
BIOTIN,0.0002747280205791766,4,1,1,0.008130081300813009
DISEASE,0.01724355411838301,3,1,1,0.006097560975609756
CITRIC,0.00930810833727227,3,1,1,0.006097560975609756
P450,0.008061564795697635,3,1,1,0.006097560975609756
COMPOUNDS,0.0059583748474602944,3,1,1,0.006097560975609756
TETRAPYRROLE,0.004745208489061271,3,1,1,0.006097560975609756
DRUG,0.004309113230198781,3,1,1,0.006097560975609756
2,0.002588791578732842,3,1,1,0.006097560975609756
HYDROXYCHOLESTEROL,0.0023303380482737075,3,1,1,0.006097560975609756
VIA,0.0023303380482737075,3,1,1,0.006097560975609756
VITAMINS,0.001768916127240975,3,1,1,0.006097560975609756
COFACTORS,0.001514723912476718,3,1,1,0.006097560975609756
SPMS,0.001449661837307272,3,1,1,0.006097560975609756
PEROXISOME,0.0013781629971561843,3,1,1,0.006097560975609756
RETINOIC,0.0013419695375834599,3,1,1,0.006097560975609756
RELATED,0.001310383182035058,3,1,1,0.006097560975609756
IMPORT,0.0011445517388921828,3,1,1,0.006097560975609756
LIPID,0.0010792743990290009,3,1,1,0.006097560975609756
PATHWAY,0.0009292453612247728,3,1,1,0.006097560975609756
ESTROGEN,0.0008592672648155483,3,1,1,0.006097560975609756
WATER,0.0008407298934164646,3,1,1,0.006097560975609756
TYROSINE,0.0007679408037003182,3,1,1,0.006097560975609756
ALPHA,0.0007370604174416392,3,1,1,0.006097560975609756
NADPLUS,0.0005812918681331593,3,1,1,0.006097560975609756
IONS,0.0005800648832655957,3,1,1,0.006097560975609756
