com,gene,pval_corrected,counts_in_com,com_size,total_gene_appearances
1.0,ADH4,5.181006111040237e-57,37.0,492.0,42.0
1.0,CYP1A2,5.181006111040237e-57,37.0,492.0,42.0
1.0,CYP3A4,1.6056644674775e-53,37.0,492.0,44.0
1.0,CYP2C8,2.5487036468146985e-53,32.0,492.0,34.0
1.0,AKR1C3,1.2737960528752175e-49,53.0,492.0,87.0
1.0,CYP2C9,1.7700214781108517e-49,30.0,492.0,32.0
1.0,CYP8B1,1.8235413331054885e-47,30.0,492.0,33.0
1.0,ALDH1B1,7.685147863628944e-46,27.0,492.0,28.0
1.0,AKR1D1,1.2257442728701877e-45,28.0,492.0,30.0
1.0,CYP27A1,8.6767174734372035e-44,30.0,492.0,35.0
1.0,CYP2C19,1.018703150466078e-43,27.0,492.0,29.0
1.0,ALDH2,1.1241974917904273e-43,29.0,492.0,33.0
1.0,AKR1C1,4.954433932751699e-42,34.0,492.0,45.0
1.0,CYP2D6,4.659021143120388e-40,24.0,492.0,25.0
1.0,CYP11A1,4.978674760169749e-40,28.0,492.0,33.0
1.0,CYP17A1,7.013973722619535e-40,25.0,492.0,27.0
1.0,ALDH7A1,7.840002450224956e-40,26.0,492.0,29.0
1.0,AKR1C2,8.446279962298687e-40,32.0,492.0,42.0
1.0,CYP11B1,1.1417626716800079e-38,29.0,492.0,36.0
1.0,CYP2A13,1.816543882594992e-38,22.0,492.0,22.0
1.0,HADHA,2.900481198974616e-38,34.0,492.0,48.0
1.0,CYP4F11,3.9449824171549616e-38,23.0,492.0,24.0
1.0,CYP11B2,5.241851472200829e-38,31.0,492.0,41.0
1.0,CYP46A1,5.809064396060462e-38,24.0,492.0,26.0
1.0,AKR1C4,3.05963102689117e-37,36.0,492.0,54.0
1.0,CYP2B6,1.5536394615132934e-36,21.0,492.0,21.0
1.0,SDHD,1.5536394615132934e-36,21.0,492.0,21.0
1.0,EHHADH,1.5840935040732253e-36,27.0,492.0,33.0
1.0,MTRR,2.7800844738307363e-36,26.0,492.0,31.0
1.0,CYP2A7,3.3411341978730165e-36,22.0,492.0,23.0
1.0,CYP2U1,3.3411341978730165e-36,22.0,492.0,23.0
1.0,CYP4B1,3.3411341978730165e-36,22.0,492.0,23.0
1.0,TBXAS1,3.3411341978730165e-36,22.0,492.0,23.0
1.0,PHYH,4.1416819141830485e-36,25.0,492.0,29.0
1.0,CYP2R1,5.050302702148868e-36,24.0,492.0,27.0
1.0,HSD17B4,6.234581559591313e-35,30.0,492.0,41.0
1.0,SDHA,1.3302624668071823e-34,20.0,492.0,20.0
1.0,CYP1A1,1.4031720018464687e-34,35.0,492.0,54.0
1.0,HSD3B1,2.8303289943154608e-34,21.0,492.0,22.0
1.0,CYP21A2,3.1819752987469773e-34,24.0,492.0,28.0
1.0,CYP3A5,4.030350488650669e-34,23.0,492.0,26.0
1.0,CYP4A22,4.030350488650669e-34,23.0,492.0,26.0
1.0,GSTK1,4.030350488650669e-34,23.0,492.0,26.0
1.0,CYP2A6,1.1403972923304876e-32,19.0,492.0,19.0
1.0,CYP2S1,1.1403972923304876e-32,19.0,492.0,19.0
1.0,CYP4F3,1.1403972923304876e-32,19.0,492.0,19.0
1.0,CYP4F8,1.1403972923304876e-32,19.0,492.0,19.0
1.0,SDHC,1.1403972923304876e-32,19.0,492.0,19.0
1.0,CYP2F1,2.398099940104354e-32,20.0,492.0,21.0
1.0,HSD3B2,2.398099940104354e-32,20.0,492.0,21.0
1.0,CYP3A7,3.202134904611333e-32,22.0,492.0,25.0
1.0,CYP2C18,3.2678174769913895e-32,21.0,492.0,23.0
1.0,CYP2J2,3.2678174769913895e-32,21.0,492.0,23.0
1.0,CYP39A1,3.2678174769913895e-32,21.0,492.0,23.0
1.0,ECHS1,3.2678174769913895e-32,21.0,492.0,23.0
1.0,SDHB,3.2678174769913895e-32,21.0,492.0,23.0
1.0,DLD,5.683513771750222e-32,29.0,492.0,41.0
1.0,ADH5,5.468379734433332e-31,24.0,492.0,30.0
1.0,CYP3A43,2.0322392503817975e-30,19.0,492.0,20.0
1.0,CYP4F22,2.0322392503817975e-30,19.0,492.0,20.0
1.0,ADH1C,2.6864202508456816e-30,20.0,492.0,22.0
1.0,ALDH3A2,3.0072994585082403e-30,28.0,492.0,40.0
1.0,CYP26A1,1.5742873773409942e-29,24.0,492.0,31.0
1.0,PTGIS,2.4336896534496743e-29,30.0,492.0,46.0
1.0,GGT5,3.740843662621449e-29,23.0,492.0,29.0
1.0,NDUFAB1,3.740843662621449e-29,23.0,492.0,29.0
1.0,CYP2E1,3.7514612621701745e-29,26.0,492.0,36.0
1.0,ADH1B,1.7224430616297714e-28,18.0,492.0,19.0
1.0,ALDH9A1,1.989707776028094e-28,20.0,492.0,23.0
1.0,P4HA2,1.989707776028094e-28,20.0,492.0,23.0
1.0,ALOX5AP,1.0129659236339509e-27,23.0,492.0,30.0
1.0,MGST3,7.248069267700547e-27,16.0,492.0,16.0
1.0,ADH1A,1.0260258803678996e-26,20.0,492.0,24.0
1.0,NDUFS2,1.0260258803678996e-26,20.0,492.0,24.0
1.0,NDUFB8,1.4600121169462152e-26,17.0,492.0,18.0
1.0,FDX2,1.5537833589438884e-26,19.0,492.0,22.0
1.0,P4HA3,1.5537833589438884e-26,19.0,492.0,22.0
1.0,ADH6,1.800424927830526e-26,18.0,492.0,20.0
1.0,CYP27C1,1.800424927830526e-26,18.0,492.0,20.0
1.0,CYP4F12,1.800424927830526e-26,18.0,492.0,20.0
1.0,NDUFV2,1.800424927830526e-26,18.0,492.0,20.0
1.0,ACOX2,2.127665481680567e-26,27.0,492.0,41.0
1.0,CYP26C1,6.398476461513163e-26,22.0,492.0,29.0
