	0
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0
KEGG_CITRATE_CYCLE_TCA_CYCLE	0
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1
KEGG_GALACTOSE_METABOLISM	1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	0
KEGG_FATTY_ACID_METABOLISM	0
KEGG_STEROID_BIOSYNTHESIS	0
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0
KEGG_OXIDATIVE_PHOSPHORYLATION	0
KEGG_PURINE_METABOLISM	2
KEGG_PYRIMIDINE_METABOLISM	3
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	4
KEGG_LYSINE_DEGRADATION	0
KEGG_ARGININE_AND_PROLINE_METABOLISM	0
KEGG_HISTIDINE_METABOLISM	0
KEGG_TYROSINE_METABOLISM	0
KEGG_PHENYLALANINE_METABOLISM	0
KEGG_TRYPTOPHAN_METABOLISM	0
KEGG_BETA_ALANINE_METABOLISM	0
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0
KEGG_SELENOAMINO_ACID_METABOLISM	0
KEGG_GLUTATHIONE_METABOLISM	0
KEGG_STARCH_AND_SUCROSE_METABOLISM	0
KEGG_N_GLYCAN_BIOSYNTHESIS	5
KEGG_OTHER_GLYCAN_DEGRADATION	5
KEGG_O_GLYCAN_BIOSYNTHESIS	5
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	5
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	5
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	5
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	5
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	5
KEGG_GLYCEROLIPID_METABOLISM	2
KEGG_INOSITOL_PHOSPHATE_METABOLISM	2
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	2
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	2
KEGG_ETHER_LIPID_METABOLISM	2
KEGG_ARACHIDONIC_ACID_METABOLISM	0
KEGG_LINOLEIC_ACID_METABOLISM	2
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	2
KEGG_SPHINGOLIPID_METABOLISM	5
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	5
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	5
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	5
KEGG_PYRUVATE_METABOLISM	0
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0
KEGG_PROPANOATE_METABOLISM	0
KEGG_BUTANOATE_METABOLISM	0
KEGG_ONE_CARBON_POOL_BY_FOLATE	0
KEGG_RIBOFLAVIN_METABOLISM	2
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	2
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	2
KEGG_FOLATE_BIOSYNTHESIS	0
KEGG_RETINOL_METABOLISM	0
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0
KEGG_NITROGEN_METABOLISM	0
KEGG_SULFUR_METABOLISM	5
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	4
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0
KEGG_ABC_TRANSPORTERS	6
KEGG_RIBOSOME	4
KEGG_RNA_DEGRADATION	3
KEGG_RNA_POLYMERASE	3
KEGG_BASAL_TRANSCRIPTION_FACTORS	3
KEGG_DNA_REPLICATION	3
KEGG_SPLICEOSOME	1
KEGG_PROTEASOME	7
KEGG_PROTEIN_EXPORT	4
KEGG_PPAR_SIGNALING_PATHWAY	8
KEGG_BASE_EXCISION_REPAIR	3
KEGG_NUCLEOTIDE_EXCISION_REPAIR	3
KEGG_MISMATCH_REPAIR	3
KEGG_HOMOLOGOUS_RECOMBINATION	3
KEGG_NON_HOMOLOGOUS_END_JOINING	3
KEGG_MAPK_SIGNALING_PATHWAY	9
KEGG_ERBB_SIGNALING_PATHWAY	9
KEGG_CALCIUM_SIGNALING_PATHWAY	10
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	11
KEGG_CHEMOKINE_SIGNALING_PATHWAY	12
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	2
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	13
KEGG_CELL_CYCLE	14
KEGG_OOCYTE_MEIOSIS	12
KEGG_P53_SIGNALING_PATHWAY	15
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	16
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	17
KEGG_REGULATION_OF_AUTOPHAGY	11
KEGG_LYSOSOME	5
KEGG_ENDOCYTOSIS	18
KEGG_PEROXISOME	0
KEGG_MTOR_SIGNALING_PATHWAY	9
KEGG_APOPTOSIS	15
KEGG_CARDIAC_MUSCLE_CONTRACTION	10
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	12
KEGG_WNT_SIGNALING_PATHWAY	19
KEGG_DORSO_VENTRAL_AXIS_FORMATION	9
KEGG_NOTCH_SIGNALING_PATHWAY	19
KEGG_HEDGEHOG_SIGNALING_PATHWAY	19
KEGG_TGF_BETA_SIGNALING_PATHWAY	19
KEGG_AXON_GUIDANCE	20
KEGG_VEGF_SIGNALING_PATHWAY	9
KEGG_FOCAL_ADHESION	9
KEGG_ECM_RECEPTOR_INTERACTION	21
KEGG_CELL_ADHESION_MOLECULES_CAMS	11
KEGG_ADHERENS_JUNCTION	22
KEGG_TIGHT_JUNCTION	22
KEGG_GAP_JUNCTION	14
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	23
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	11
KEGG_RENIN_ANGIOTENSIN_SYSTEM	16
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	11
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	24
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	11
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	11
KEGG_JAK_STAT_SIGNALING_PATHWAY	11
KEGG_HEMATOPOIETIC_CELL_LINEAGE	11
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	9
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	9
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	9
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	9
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	9
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	22
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	11
KEGG_CIRCADIAN_RHYTHM_MAMMAL	25
KEGG_LONG_TERM_POTENTIATION	12
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	9
KEGG_LONG_TERM_DEPRESSION	2
KEGG_OLFACTORY_TRANSDUCTION	13
