pathway,label,category
GO_MITOTIC_CYTOKINESIS,63.0,GO_CYTOKINESIS
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,141.0,GO_NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS
GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION,176.0,GO_REGULATION_OF_CELLULAR_PROCESS
GO_ENDOTHELIAL_CELL_DEVELOPMENT,50.0,GO_CELL_DEVELOPMENT
GO_LIPID_MODIFICATION,34.0,GO_CELLULAR_LIPID_METABOLIC_PROCESS
GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT,141.0,GO_NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS
GO_HEMOGLOBIN_METABOLIC_PROCESS,36.0,GO_CELLULAR_MACROMOLECULE_METABOLIC_PROCESS
GO_CHROMOSOME_ORGANIZATION,30.0,GO_CELLULAR_COMPONENT_ORGANIZATION
GO_SYNAPTIC_VESICLE_LOCALIZATION,150.0,GO_ORGANELLE_LOCALIZATION
GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,187.0,GO_REGULATION_OF_RESPONSE_TO_STIMULUS
GO_CYTOKINE_METABOLIC_PROCESS,155.0,GO_ORGANONITROGEN_COMPOUND_METABOLIC_PROCESS
GO_STEROID_BIOSYNTHETIC_PROCESS,118.0,GO_LIPID_METABOLIC_PROCESS
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT,114.0,GO_INTRACELLULAR_TRANSPORT
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,141.0,GO_NEGATIVE_REGULATION_OF_BIOLOGICAL_PROCESS
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION,176.0,GO_REGULATION_OF_CELLULAR_PROCESS
GO_RESPONSE_TO_ETHANOL,192.0,GO_RESPONSE_TO_ANTIBIOTIC
GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT,176.0,GO_REGULATION_OF_CELLULAR_PROCESS
GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING,171.0,GO_REGULATION_OF_BINDING
GO_REGULATION_OF_VASCULOGENESIS,177.0,GO_REGULATION_OF_DEVELOPMENTAL_PROCESS
GO_LENS_FIBER_CELL_DIFFERENTIATION,51.0,GO_CELL_DIFFERENTIATION
GO_REGULATION_OF_LIPID_STORAGE,180.0,GO_REGULATION_OF_LIPID_STORAGE
GO_CARBOHYDRATE_TRANSPORT,224.0,GO_TRANSPORT
GO_EMBRYONIC_HEMOPOIESIS,7.0,GO_ANIMAL_ORGAN_DEVELOPMENT
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING,77.0,GO_EMBRYO_DEVELOPMENT
GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION,176.0,GO_REGULATION_OF_CELLULAR_PROCESS
GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT,55.0,GO_CELL_MIGRATION
GO_PHOSPHOLIPID_METABOLIC_PROCESS,158.0,GO_PHOSPHORUS_METABOLIC_PROCESS
GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION,185.0,GO_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS
GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION,176.0,GO_REGULATION_OF_CELLULAR_PROCESS
GO_MAMMARY_GLAND_MORPHOGENESIS,8.0,GO_ANIMAL_ORGAN_MORPHOGENESIS
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION,30.0,GO_CELLULAR_COMPONENT_ORGANIZATION
GO_PROTEIN_ACTIVATION_CASCADE,155.0,GO_ORGANONITROGEN_COMPOUND_METABOLIC_PROCESS
GO_LUNG_EPITHELIUM_DEVELOPMENT,219.0,GO_TISSUE_DEVELOPMENT
