pathway,label,category
GO_FILOPODIUM,26.0,GO_CELL_PROJECTION
GO_NUCLEAR_CHROMOSOME_TELOMERIC_REGION,0.0,GO_3M_COMPLEX
GO_CLATHRIN_SCULPTED_VESICLE,159.0,GO_ORGANELLE
GO_I_BAND,114.0,GO_I_BAND
GO_AGGRESOME,106.0,GO_INCLUSION_BODY
GO_MULTIVESICULAR_BODY,159.0,GO_ORGANELLE
GO_RNA_CAP_BINDING_COMPLEX,196.0,GO_RNA_CAP_BINDING_COMPLEX
GO_LOW_DENSITY_LIPOPROTEIN_PARTICLE,186.0,GO_PROTEIN_LIPID_COMPLEX
GO_EXTRACELLULAR_MATRIX,81.0,GO_EXTRACELLULAR_MATRIX
GO_PHAGOCYTIC_VESICLE,159.0,GO_ORGANELLE
GO_ENDOLYSOSOME,159.0,GO_ORGANELLE
GO_90S_PRERIBOSOME,195.0,GO_RIBONUCLEOPROTEIN_COMPLEX
GO_CYTOCHROME_COMPLEX,54.0,GO_CYTOCHROME_COMPLEX
GO_CHROMOSOME,159.0,GO_ORGANELLE
GO_CONDENSED_NUCLEAR_CHROMOSOME,159.0,GO_ORGANELLE
GO_NUCLEAR_ENVELOPE,73.0,GO_ENVELOPE
GO_RETROMER_COMPLEX,128.0,GO_MEMBRANE_PROTEIN_COMPLEX
GO_NUCLEAR_EXOSOME_RNASE_COMPLEX_,0.0,GO_3M_COMPLEX
GO_TRANSCRIPTION_FACTOR_TFIID_COMPLEX,225.0,GO_TRANSCRIPTION_FACTOR_COMPLEX
GO_CENTRIOLE,159.0,GO_ORGANELLE
GO_MICROTUBULE_CYTOSKELETON,159.0,GO_ORGANELLE
GO_LYSOSOMAL_LUMEN,127.0,GO_MEMBRANE_ENCLOSED_LUMEN
GO_CELL_CELL_CONTACT_ZONE,24.0,GO_CELL_JUNCTION
GO_MUSCLE_MYOSIN_COMPLEX,146.0,GO_MYOSIN_COMPLEX
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX,128.0,GO_MEMBRANE_PROTEIN_COMPLEX
GO_INFLAMMASOME_COMPLEX,107.0,GO_INFLAMMASOME_COMPLEX
GO_IMMUNOLOGICAL_SYNAPSE,105.0,GO_IMMUNOLOGICAL_SYNAPSE
GO_GABA_RECEPTOR_COMPLEX,191.0,GO_RECEPTOR_COMPLEX
GO_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK,161.0,GO_ORGANELLE_SUBCOMPARTMENT
