pathway,label,category
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS,15.0,Metabolism
REACTOME_TRANSLATION,16.0,Metabolism of proteins
REACTOME_PYRIMIDINE_CATABOLISM,15.0,Metabolism
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,1.0,REACTOME_CELL_CYCLE
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,15.0,Metabolism
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,21.0,REACTOME_PROGRAMMED_CELL_DEATH
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,10.0,REACTOME_DNA_REPLICATION
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_GAP_JUNCTION_DEGRADATION,26.0,REACTOME_VESICLE_MEDIATED_TRANSPORT
REACTOME_BASE_EXCISION_REPAIR,9.0,REACTOME_DNA_REPAIR
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,15.0,Metabolism
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,15.0,Metabolism
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS,15.0,Metabolism
REACTOME_SIGNALING_BY_RHO_GTPASES,24.0,Signal Transduction
REACTOME_SIGNALING_BY_WNT,24.0,Signal Transduction
REACTOME_METABOLISM_OF_NON_CODING_RNA,17.0,REACTOME_METABOLISM_OF_RNA
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL,15.0,Metabolism
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,15.0,Metabolism
REACTOME_ANDROGEN_BIOSYNTHESIS,15.0,Metabolism
REACTOME_INSULIN_RECEPTOR_RECYCLING,24.0,Signal Transduction
